,0,1
000002sz,62364,32360
000063sz,60089,34636
000651sz,59201,35524
000858sz,50933,43792
002460sz,50316,44409
002594sz,49317,45408
002841sz,48609,31239
300144sz,64842,29334
300498sz,73648,20810
600111sh,63330,31493
600309sh,51697,43138
600398sh,77971,8188
600436sh,51912,43088
600585sh,61185,33604
600893sh,54907,39863
600900sh,75689,19232
601088sh,69664,25281
601100sh,54870,40052
601360sh,67720,27288
603986sh,51402,43437
