Model,Accuracy,Precision,Recall,F1
XGBoost,0.6572182633940353,0.49883868243243246,0.7300679851668727,0.5926994480682388
Approx KNN,0.5280548957508577,0.39732179988355654,0.7381025957972805,0.5165720464990537
Linear SVM,0.5992082343626287,0.43929383732264704,0.6266996291718171,0.5165234001910219
Logistic Regression (SGD),0.5783584059118501,0.417519042437432,0.5928615574783683,0.4899757374537096
HistGBM,0.6697281604645025,0.5199851273470906,0.43216934487021014,0.4720276769892836
