Model,Accuracy,Precision,Recall,F1
XGBoost,0.7817360762669343,0.6558533145275035,0.7088414634146342,0.6813186813186813
HistGBM,0.6823883592574009,0.516642547033285,0.5442073170731707,0.5300668151447662
Linear SVM,0.6021073758153538,0.42720510095642933,0.6128048780487805,0.5034439574201628
Approx KNN,0.5524335173105871,0.39388489208633093,0.6676829268292683,0.49547511312217196
Logistic Regression (SGD),0.5589563472152533,0.3834900731452456,0.5594512195121951,0.4550526968381897
