Model,Accuracy,Precision,Recall,F1
XGBoost,0.73607626693427,0.5844155844155844,0.6859756097560976,0.6311360448807855
MLP,0.7029603612644255,0.5495356037151703,0.5411585365853658,0.5453149001536098
Linear SVM,0.5920722528850978,0.4198161389172625,0.6265243902439024,0.5027522935779817
Logistic Regression (SGD),0.5850476668339187,0.4087513340448239,0.5838414634146342,0.48085373509102325
