Model,Accuracy,Precision,Recall,F1
XGBoost,0.7972905168088309,0.7,0.6722560975609756,0.6858475894245724
Linear SVM,0.6081284495735073,0.43001119820828665,0.5853658536585366,0.49580374435119434
Logistic Regression (SGD),0.5363773206221776,0.363265306122449,0.5426829268292683,0.4352078239608802
Approx KNN,0.6668339187155042,0.4,0.024390243902439025,0.04597701149425287
HistGBM,0.6708479678876066,0.0,0.0,0.0
