Model,Accuracy,Precision,Recall,F1
XGBoost,0.8186528497409327,0.7377049180327869,0.703125,0.72
HistGBM,0.6580310880829016,0.4895833333333333,0.734375,0.5875
Linear SVM,0.5906735751295337,0.40963855421686746,0.53125,0.46258503401360546
Approx KNN,0.36787564766839376,0.31875,0.796875,0.45535714285714285
Logistic Regression (SGD),0.5699481865284974,0.379746835443038,0.46875,0.4195804195804196
